Date,Time,Power Factor AN Min,Power Factor AN Avg,Power Factor AN Max,Power Factor AN Status,Power Factor BN Min,Power Factor BN Avg,Power Factor BN Max,Power Factor BN Status,Power Factor CN Min,Power Factor CN Avg,Power Factor CN Max,Power Factor CN Status,Power Factor Total Min,Power Factor Total Avg,Power Factor Total Max,Power Factor AN Status
25-02-2025,19:12.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:12.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:12.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:12.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:13.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:13.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:13.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:13.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:14.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:14.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:14.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:14.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:15.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:15.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:15.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:15.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:16.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:16.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:16.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:16.8,0.98,0.98,0.98,,0.9,0.9,0.9,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:17.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:17.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:17.6,0.98,0.98,0.98,,0.9,0.9,0.9,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:17.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:18.1,0.98,0.98,0.98,,0.9,0.9,0.9,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:18.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:18.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:18.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:19.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:19.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:19.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:19.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:20.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:20.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:20.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:20.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:21.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:21.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:21.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:21.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:22.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:22.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:22.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:22.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:23.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:23.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:23.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:23.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:24.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:24.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.96,
25-02-2025,19:24.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:24.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:25.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:25.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:25.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:25.8,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:26.1,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:26.3,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:26.6,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:26.8,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:27.1,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:27.3,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:27.6,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:27.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:28.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:28.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:28.6,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:28.8,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:29.1,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:29.3,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:29.6,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:29.8,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:30.1,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:30.3,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:30.6,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:30.8,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:31.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:31.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:31.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:31.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:32.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:32.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:32.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:32.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:33.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:33.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:33.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:33.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:34.1,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:34.3,0.98,0.98,0.98,,0.91,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:34.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:34.8,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:35.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:35.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:35.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:35.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:36.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:36.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:36.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:36.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:37.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:37.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:37.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:37.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:38.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:38.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:38.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:38.8,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:39.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:39.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:39.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:39.8,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:40.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:40.3,0.98,0.98,0.98,,0.91,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:40.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:40.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:41.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:41.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:41.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:41.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:42.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:42.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:42.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,19:42.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
